Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
1,Document,,,,,,,,,Draft,Modelisation Projet Microservices,,
2,Page,,,,,,,,,,AbonnéCaseUser,,
3,Actor,UML,2,,,,,,,,Abonné,,
4,Rectangle container,UML,2,,,,,,,,Systeme de Gestion des Abonnements,,
5,Use Case,UML,2,4,,,,,,,Souscrire à un Abonnement,,
6,Class,UML,2,,,,,,,,"<<actor>>
User Service",,
7,Use Case,UML,2,4,,,,,,,Comparer les offres,,
8,Use Case,UML,2,4,,,,,,,Consulter les offres d'abonnement,,
9,Class,UML,2,,,,,,,,"<<actor>>
Paiement Service",,
10,Use Case,UML,2,4,,,,,,,Vérifier le compte utilisateur,,
11,Use Case,UML,2,4,,,,,,,Passer le paiement ,,
12,Use Case,UML,2,4,,,,,,,Envoyer demande de confirmation,,
13,Use Case,UML,2,4,,,,,,,Consulter l'historique des abonnements,,
14,Use Case,UML,2,4,,,,,,,Configurer le renouvellement  automatique,,
15,Use Case,UML,2,4,,,,,,,Consulter ses abonnements actif,,
16,Use Case,UML,2,4,,,,,,,Changer le plan d'abonnement,,
17,Use Case,UML,2,4,,,,,,,Traiter la différence de paiement,,
18,Class,UML,2,,,,,,,,"<<actor>>
Notification Service",,
19,Use Case,UML,2,4,,,,,,,Envoyer confirmation de changement,,
20,Use Case,UML,2,4,,,,,,,Désactiver temporairement un abonnement,,
21,Use Case,UML,2,4,,,,,,,Annuler un abonnement,,
22,Use Case,UML,2,4,,,,,,,Renouveler un abonnement,,
23,Line,,2,,,3,15,None,None,,,,
24,Line,,2,,,3,5,None,None,,,,
25,Line,,2,,,3,8,None,None,,,,
26,Line,,2,,,3,14,None,None,,,,
27,Line,,2,,,7,8,None,Open Arrow,,<<extend>>,,
28,Line,,2,,,11,5,Open Arrow,None,,<<include>>,,
29,Line,,2,,,12,5,Open Arrow,None,,<<include>>,,
30,Line,,2,,,10,5,Open Arrow,None,,<<include>>,,
31,Line,,2,,,11,9,None,None,,,,
32,Line,,2,,,12,18,None,None,,,,
33,Line,,2,,,10,6,None,None,,,,
34,Line,,2,,,3,13,None,None,,,,
35,Line,,2,,,3,16,None,None,,,,
36,Line,,2,,,17,9,None,None,,,,
37,Line,,2,,,19,18,None,None,,,,
38,Line,,2,,,17,16,Open Arrow,None,,<<include>>,,
39,Line,,2,,,19,16,Open Arrow,None,,<<include>>,,
40,Line,,2,,,11,22,Open Arrow,None,,<<include>>,,
41,Line,,2,,,12,22,Open Arrow,None,,<<include>>,,
42,Line,,2,,,3,22,None,None,,,,
43,Line,,2,,,3,20,None,None,,,,
44,Line,,2,,,12,20,Open Arrow,None,,<<include>>,,
45,Line,,2,,,3,21,None,None,,,,
46,Line,,2,,,12,21,Open Arrow,None,,<<include>>,,
47,Line,,2,,,3,7,None,None,,,,
48,Page,,,,,,,,,,superviseurUseCase,,
49,Actor,UML,48,,,,,,,,superviseur des abonnements,,
50,Rectangle container,UML,48,,,,,,,,Systeme de Gestion des Abonnements,,
51,Use Case,UML,48,50,,,,,,,Modifier les caractéristiques d'un plan,,
52,Class,UML,48,,,,,,,,"<<actor>>
Notification Service",,
53,Use Case,UML,48,50,,,,,,,Ajouter un nouvelle plan,,
54,Use Case,UML,48,50,,,,,,,Notifier les abonnés concernés,,
55,Use Case,UML,48,50,,,,,,,Forcer le renouvellement d'un abonnement,,
56,Use Case,UML,48,50,,,,,,,Forcer l'annulation d'un abonnement,,
57,Use Case,UML,48,50,,,,,,,Notifier l'utilisateur concerné,,
58,Use Case,UML,48,50,,,,,,,Supprimer une plan,,
59,Use Case,UML,48,50,,,,,,,Désactiver une plan,,
60,Use Case,UML,48,50,,,,,,,Consulter tous les abonnements,,
61,Use Case,UML,48,50,,,,,,,Forcer suspension d'un abonnement,,
62,Line,,48,,,49,51,None,None,,,,
63,Line,,48,,,49,53,None,None,,,,
64,Line,,48,,,59,58,None,Open Arrow,,<<extend>>,,
65,Line,,48,,,54,51,Open Arrow,None,,<<include>>,,
66,Line,,48,,,54,52,None,None,,,,
67,Line,,48,,,49,55,None,None,,,,
68,Line,,48,,,49,56,None,None,,,,
69,Line,,48,,,57,52,None,None,,,,
